"","ID","Orientation.Date","Type","NOT.Attending","Present","orientation"
"2826",1922,"5/29/18","PAC Cat","","PRESENT","Primary"
"2370",1938,"2/25/18","PAC Cat","","PRESENT","Primary"
"1548",1954,"10/1/17","PAC Cat","","PRESENT","Primary"
"2081",1995,"1/14/18","PAC Cat","","PRESENT","Primary"
"2866",1871,"6/3/18","NE","","PRESENT","Primary"
"2019",1690,"12/26/17","PAC Cat","","PRESENT","Primary"
"2565",1926,"04/03/18","PAC Cat","","PRESENT","Primary"
"1575",1390,"10/1/17","NE","","PRESENT","Primary"
"550",1626,"3/28/17","PAC Cat","","PRESENT","Primary"
"2532",2099,"03/27/18","PAC Cat","","PRESENT","Primary"
"1693",1065,"10/22/17","GF Basic + GF WD","","PRESENT","Primary"
"1970",1095,"12/17/17","PAC Cat","","PRESENT","Primary"
"1856",1496,"11/19/17","NE","","PRESENT","Primary"
"1362",1818,"8/22/17","PAC Cat","","PRESENT","Primary"
"504",1344,"3/21/17","PAC Cat","","PRESENT","Primary"
"1738",1315,"11/5/17","GF Basic","","PRESENT","Primary"
"2009",1315,"12/19/17","PAC Dog","","PRESENT","Secondary"
"776",1716,"5/9/17","PAC Cat","","PRESENT","Primary"
"1470",1675,"9/12/17","PAC Cat","","PRESENT","Primary"
"2837",1794,"6/3/18","GF Basic","","PRESENT","Primary"
"1483",1347,"9/17/17","NE","","PRESENT","Primary"
"2620",1988,"4/15/18","PAC Cat","","PRESENT","Primary"
"2704",1988,"4/29/18","GF Basic + GF WD","","PRESENT","Secondary"
"2516",2203,"03/20/18","PAC Cat","","PRESENT","Primary"
"705",1042,"4/30/17","GF Basic + GF WD","","PRESENT","Primary"
"2841",2120,"6/3/18","GF Basic","","PRESENT","Primary"
"2848",1917,"6/3/18","GF Basic + GF WD","","PRESENT","Primary"
"2808",1968,"5/20/18","PAC Cat","","PRESENT","Primary"
"1421",1209,"9/3/17","NE","","PRESENT","Primary"
"2062",2046,"1/7/18","NE","","PRESENT","Primary"
"972",1190,"6/11/17","GF WD","","PRESENT","Primary"
"867",1093,"5/23/17","PAC Dog","","PRESENT","Primary"
"1375",1445,"8/27/17","PAC Cat","","PRESENT","Primary"
"1527",1555,"9/24/17","GF Basic + GF WD","","PRESENT","Primary"
"2450",1809,"3/6/18","NE","","PRESENT","Primary"
"1705",1702,"10/24/17","PAC Cat","","PRESENT","Primary"
"1785",1702,"11/7/17","PAC Dog","","PRESENT","Secondary"
"344",1665,"2/26/17","PAC Dog","","PRESENT","Primary"
"1374",1701,"8/27/17","PAC Cat","","PRESENT","Primary"
"2560",2146,"04/03/18","NE","","PRESENT","Primary"
"1647",1053,"10/17/17","NE","","PRESENT","Primary"
"1878",1536,"11/21/17","NE","","PRESENT","Primary"
"1796",1136,"11/12/17","GF Basic + GF WD","","PRESENT","Primary"
"1619",1412,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"2506",2019,"03/18/18","NE","","PRESENT","Primary"
"1402",1154,"8/31/17","NE + NE","","PRESENT","Primary"
"2883",2123,"6/5/18","NE","","PRESENT","Primary"
"542",1197,"3/26/17","NE","","PRESENT","Primary"
"1893",1123,"12/3/17","GF Basic","","PRESENT","Primary"
"2088",2149,"1/14/18","GF Basic + GF WD","","PRESENT","Primary"
"2374",1881,"2/25/18","GF Basic + GF WD","","PRESENT","Primary"
"1190",1660,"7/25/17","PAC Dog","","PRESENT","Primary"
"1366",1118,"8/22/17","PAC Dog","","PRESENT","Primary"
"1394",1118,"8/29/17","PAC Cat","","PRESENT","Secondary"
"2629",1783,"4/15/18","GF Basic + GF WD","","PRESENT","Primary"
"512",1523,"3/26/17","PAC Cat","","PRESENT","Primary"
"2476",2034,"03/18/18","PAC Cat","","PRESENT","Primary"
"1319",1027,"8/13/17","PAC Cat","","PRESENT","Primary"
"2073",1882,"1/9/18","PAC Cat","","PRESENT","Primary"
"2574",1890,"04/08/18","PAC Cat","","PRESENT","Primary"
"1203",1199,"7/27/17","NE","","PRESENT","Primary"
"1459",1741,"9/10/17","GF Basic","","PRESENT","Primary"
"2775",1932,"5/15/18","PAC Cat","","PRESENT","Primary"
"2836",1887,"6/3/18","GF Basic","","PRESENT","Primary"
"2077",1901,"1/9/18","PAC Dog","","PRESENT","Primary"
"1601",1166,"10/3/17","PAC Dog","","PRESENT","Primary"
"2457",1806,"3/11/18","PAC Cat","","PRESENT","Primary"
"1342",1616,"8/20/17","GF Basic + GF WD","","PRESENT","Primary"
"2910",1993,"6/12/18","PAC Cat","","PRESENT","Primary"
"2619",1916,"4/10/18","PAC Cat","","PRESENT","Primary"
"1290",1292,"8/13/17","GF Basic + GF WD","","PRESENT","Primary"
"1216",1561,"7/30/17","GF Basic","","PRESENT","Primary"
"560",1026,"4/2/17","GF Basic + GF WD","","PRESENT","Primary"
"582",1026,"4/4/17","PAC Cat","","PRESENT","Secondary"
"2953",2012,"6/19/18","PAC Cat","","PRESENT","Primary"
"2121",2085,"1/16/18","NE","","PRESENT","Primary"
"1956",1692,"12/10/17","GF Basic + GF WD","","PRESENT","Primary"
"466",1194,"3/12/17","NE","","PRESENT","Primary"
"1910",1180,"12/3/17","NE","","PRESENT","Primary"
"1122",1126,"7/9/17","GF Basic + GF WD","","PRESENT","Primary"
"1683",1489,"10/22/17","PAC Cat","","PRESENT","Primary"
"1132",1368,"7/11/17","PAC Cat","","PRESENT","Primary"
"2266",1781,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"2901",1929,"6/10/18","GF Basic + GF WD","","PRESENT","Primary"
"1440",1674,"9/5/17","NE","","PRESENT","Primary"
"2395",2136,"2/27/18","PAC Cat","","PRESENT","Primary"
"322",1630,"2/21/17","PAC Dog","","PRESENT","Primary"
"2381",1944,"2/25/18","GF Basic + GF WD","","PRESENT","Primary"
"642",2069,"4/11/17","PAC Dog","","PRESENT","Primary"
"609",1174,"4/9/17","GF Basic + GF WD","","PRESENT","Primary"
"2557",1861,"04/03/18","NE","","PRESENT","Primary"
"2256",2151,"2/11/18","PAC Cat","","PRESENT","Primary"
"2952",2071,"6/19/18","PAC Cat","","PRESENT","Primary"
"219",1503,"2/7/17","PAC Cat","","PRESENT","Primary"
"2441",1949,"3/6/18","PAC Cat","","PRESENT","Primary"
"2002",1291,"12/19/17","PAC Cat","","PRESENT","Primary"
"2180",2056,"1/28/18","PAC Cat","","PRESENT","Primary"
"1791",1906,"11/12/17","PAC Cat","","PRESENT","Primary"
"2094",1906,"1/14/18","GF Basic + GF WD","","PRESENT","Secondary"
"1899",1509,"12/3/17","GF Basic","","PRESENT","Primary"
"1864",1107,"11/21/17","PAC Cat","","PRESENT","Primary"
"161",1305,"1/29/17","GF Basic","","PRESENT","Primary"
"2951",1980,"6/19/18","PAC Cat","","PRESENT","Primary"
"2969",1980,"6/24/18","GF Basic","","PRESENT","Secondary"
"2060",1886,"1/7/18","NE","","PRESENT","Primary"
"2212",1807,"2/4/17","PAC Cat","","PRESENT","Primary"
"2735",1789,"5/1/18","NE","","PRESENT","Primary"
"1640",1677,"10/10/17","PAC Cat","","PRESENT","Primary"
"1871",1677,"11/21/17","PAC Dog","","PRESENT","Secondary"
"1581",1047,"10/3/17","NE","","PRESENT","Primary"
"2671",1755,"4/22/18","PAC Cat","","PRESENT","Primary"
"2018",1535,"12/26/17","PAC Cat","","PRESENT","Primary"
"2683",1914,"4/22/18","GF Basic","","PRESENT","Primary"
"868",1112,"5/23/17","PAC Dog","","PRESENT","Primary"
"777",1112,"5/9/17","PAC Cat","","PRESENT","Secondary"
"2807",1752,"5/20/18","PAC Cat","","PRESENT","Primary"
"1244",1597,"8/1/17","PAC Cat","","PRESENT","Primary"
"1860",1544,"11/21/17","PAC Cat","","PRESENT","Primary"
"1954",1544,"12/10/17","GF Basic","","PRESENT","Secondary"
"1931",1544,"12/5/17","PAC Dog","","PRESENT","Secondary"
"1940",1581,"12/5/17","NE","","PRESENT","Primary"
"2889",1760,"6/10/18","PAC Cat","","PRESENT","Primary"
"636",2001,"4/11/17","PAC Cat","","PRESENT","Primary"
"283",1839,"2/19/17","PAC Cat","","PRESENT","Primary"
"1335",1341,"8/20/17","PAC Cat","","PRESENT","Primary"
"2482",2152,"03/18/18","GF Basic + GF WD","","PRESENT","Primary"
"2404",2152,"3/4/18","PAC Cat","","PRESENT","Secondary"
"2536",2135,"03/30/18","GF Basic","","PRESENT","Primary"
"1715",1805,"10/29/17","PAC Cat","","PRESENT","Primary"
"2800",2129,"5/18/18","GF Basic","","PRESENT","Primary"
"1373",1542,"8/27/17","PAC Cat","","PRESENT","Primary"
"2847",2002,"6/3/18","GF Basic","","PRESENT","Primary"
"2664",1866,"4/17/18","PAC Dog","","PRESENT","Primary"
"2699",1866,"4/29/18","PAC Cat","","PRESENT","Secondary"
"2752",1823,"5/8/18","PAC Dog","","PRESENT","Primary"
"1897",1538,"12/3/17","GF Basic + GF WD","","PRESENT","Primary"
"1913",1548,"12/3/17","NE","","PRESENT","Primary"
"1085",1240,"7/2/17","GF Basic + GF WD","","PRESENT","Primary"
"2528",2235,"03/25/18","PAC Cat","","PRESENT","Primary"
"2170",1768,"1/23/18","PAC Cat","","PRESENT","Primary"
"184",1992,"2/5/17","PAC Cat","","PRESENT","Primary"
"2397",2131,"2/27/18","PAC Cat","","PRESENT","Primary"
"340",1803,"2/26/17","PAC Cat","","PRESENT","Primary"
"1686",1343,"10/22/17","GF Basic + GF WD","","PRESENT","Primary"
"2685",2043,"4/22/18","GF WD","","PRESENT","Primary"
"505",1864,"3/21/17","PAC Cat","","PRESENT","Primary"
"1822",1444,"11/14/17","PAC Cat","","PRESENT","Primary"
"698",1040,"4/25/17","PAC Dog","","PRESENT","Primary"
"1827",1317,"11/19/17","PAC Cat","","PRESENT","Primary"
"1850",1720,"11/19/17","NE","","PRESENT","Primary"
"2187",2070,"1/28/18","GF Basic + GF WD","","PRESENT","Primary"
"2120",1811,"1/16/18","NE","","PRESENT","Primary"
"743",1159,"5/7/17","PAC Cat","","PRESENT","Primary"
"1550",1424,"10/1/17","PAC Cat","","PRESENT","Primary"
"2610",2182,"04/08/18","NE","","PRESENT","Primary"
"2314",2217,"2/18/18","GF Basic + GF WD","","PRESENT","Primary"
"1339",1121,"8/20/17","GF Basic + GF WD","","PRESENT","Primary"
"2146",1860,"1/21/18","GF Basic + GF WD","","PRESENT","Primary"
"710",1212,"4/30/17","GF Basic","","PRESENT","Primary"
"2128",1212,"1/21/18","PAC Cat","","PRESENT","Secondary"
"1831",1278,"11/19/17","GF Basic + GF WD","","PRESENT","Primary"
"1125",1727,"7/9/17","GF Basic","","PRESENT","Primary"
"2346",1907,"2/20/18","PAC Cat","","PRESENT","Primary"
"2971",1896,"6/24/18","GF Basic + GF WD","","PRESENT","Primary"
"2533",1910,"03/27/18","PAC Cat","","PRESENT","Primary"
"2585",1856,"04/08/18","GF Basic + GF WD","","PRESENT","Primary"
"1855",1613,"11/19/17","NE","","PRESENT","Primary"
"1249",1302,"8/6/17","PAC Cat","","PRESENT","Primary"
"2464",2041,"03/13/18","PAC Cat","","PRESENT","Primary"
"1926",1059,"12/5/17","PAC Cat","","PRESENT","Primary"
"2484",2204,"03/18/18","GF Basic","","PRESENT","Primary"
"2182",2204,"1/28/18","PAC Cat","","PRESENT","Secondary"
"2214",2030,"2/4/17","PAC Cat","","PRESENT","Primary"
"923",1730,"6/4/17","NE","","PRESENT","Primary"
"2186",2065,"1/28/18","GF Basic","","PRESENT","Primary"
"288",1025,"2/19/17","GF Basic + GF WD","","PRESENT","Primary"
"2393",1872,"2/27/18","PAC Cat","","PRESENT","Primary"
"2729",2127,"5/1/18","NE","","PRESENT","Primary"
"2339",1838,"2/20/18","PAC Cat","","PRESENT","Primary"
"1194",1382,"7/27/17","NE","","PRESENT","Primary"
"2452",1800,"3/6/18","NE","","PRESENT","Primary"
"1617",1295,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"1545",1295,"9/26/17","PAC Cat","","PRESENT","Secondary"
"2697",1920,"4/29/18","PAC Cat","","PRESENT","Primary"
"2672",1946,"4/22/18","PAC Cat","","PRESENT","Primary"
"2190",2172,"1/28/18","GF Basic + GF WD","","PRESENT","Primary"
"1832",1138,"11/19/17","GF Basic + GF WD","","PRESENT","Primary"
"1242",1395,"8/1/17","PAC Cat","","PRESENT","Primary"
"1381",1220,"8/27/17","GF Basic + GF WD","","PRESENT","Primary"
"665",2138,"4/23/17","GF Basic + GF WD","","PRESENT","Primary"
"1730",1215,"11/5/17","PAC Cat","","PRESENT","Primary"
"2335",2018,"2/18/18","NE","","PRESENT","Primary"
"1793",1609,"11/12/17","PAC Cat","","PRESENT","Primary"
"2805",2051,"5/18/18","GF Basic","","PRESENT","Primary"
"1866",1606,"11/21/17","PAC Cat","","PRESENT","Primary"
"1837",1146,"11/19/17","GF Basic","","PRESENT","Primary"
"1905",1146,"12/3/17","GF WD","","PRESENT","Secondary"
"417",1682,"3/7/17","PAC Cat","","PRESENT","Primary"
"1272",1796,"8/8/17","PAC Cat","","PRESENT","Primary"
"715",1620,"4/30/17","GF Basic + GF WD","","PRESENT","Primary"
"1468",1378,"9/10/17","GF WD","","PRESENT","Primary"
"2959",1808,"","PAC Cat","","PRESENT","Primary"
"1083",1512,"7/2/17","GF Basic + GF WD","","PRESENT","Primary"
"1038",1134,"6/25/17","GF Basic + GF WD","","PRESENT","Primary"
"1173",1448,"7/18/17","PAC Cat","","PRESENT","Primary"
"2312",1969,"2/18/18","GF Basic + GF WD","","PRESENT","Primary"
"604",1661,"4/9/17","GF Basic + GF WD","","PRESENT","Primary"
"2545",1904,"03/30/18","GF Basic","","PRESENT","Primary"
"1211",1461,"7/30/17","GF Basic + GF WD","","PRESENT","Primary"
"612",2218,"4/9/17","GF Basic + GF WD","","PRESENT","Primary"
"2410",2005,"3/4/18","GF Basic + GF WD","","PRESENT","Primary"
"1262",1430,"8/6/17","GF Basic + GF WD","","PRESENT","Primary"
"1326",1908,"8/15/17","PAC Cat","","PRESENT","Primary"
"2329",1780,"2/18/18","NE","","PRESENT","Primary"
"823",2134,"5/21/17","PAC Cat","","PRESENT","Primary"
"1296",2134,"8/13/17","GF Basic","","PRESENT","Secondary"
"217",1868,"2/7/17","PAC Cat","","PRESENT","Primary"
"2728",2102,"5/1/18","PAC Cat","","PRESENT","Primary"
"2750",2102,"5/8/18","PAC Dog","","PRESENT","Secondary"
"2711",1987,"4/29/18","GF Basic + GF WD","","PRESENT","Primary"
"1613",1372,"10/8/17","PAC Cat","","PRESENT","Primary"
"1253",1463,"8/6/17","GF Basic","","PRESENT","Primary"
"2265",1945,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"310",2079,"2/21/17","PAC Cat","","PRESENT","Primary"
"1826",1655,"11/19/17","PAC Cat","","PRESENT","Primary"
"2439",1825,"3/6/18","PAC Cat","","PRESENT","Primary"
"2915",1967,"6/12/18","PAC Cat","","PRESENT","Primary"
"1674",1531,"10/17/17","PAC Dog","","PRESENT","Primary"
"2563",2205,"04/03/18","PAC Cat","","PRESENT","Primary"
"2086",1757,"1/14/18","GF Basic","","PRESENT","Primary"
"2064",2226,"1/7/18","NE","","PRESENT","Primary"
"2840",1936,"6/3/18","GF Basic","","PRESENT","Primary"
"1494",1576,"9/19/17","PAC Cat","","PRESENT","Primary"
"2797",1747,"5/18/18","GF Basic","","PRESENT","Primary"
"546",2198,"3/28/17","PAC Cat","","PRESENT","Primary"
"1678",1408,"10/17/17","PAC Dog","","PRESENT","Primary"
"1733",1408,"11/5/17","GF Basic","","PRESENT","Secondary"
"2272",1964,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"1263",1182,"8/6/17","GF Basic + GF WD","","PRESENT","Primary"
"2551",1974,"03/30/18","GF Basic","","PRESENT","Primary"
"2612",1799,"04/08/18","NE","","PRESENT","Primary"
"2447",1925,"3/6/18","NE","","PRESENT","Primary"
"470",1066,"3/19/17","PAC Cat","","PRESENT","Primary"
"1336",1245,"8/20/17","PAC Cat","","PRESENT","Primary"
"1277",1245,"8/8/17","PAC Dog","","PRESENT","Secondary"
"2663",2185,"4/17/18","PAC Dog","","PRESENT","Primary"
"2315",2011,"2/18/18","GF Basic + GF WD","","PRESENT","Primary"
"2555",1941,"04/03/18","NE","","PRESENT","Primary"
"2684",1831,"4/22/18","GF Basic","","PRESENT","Primary"
"2569",2091,"04/03/18","PAC Dog","","PRESENT","Primary"
"2089",1761,"1/14/18","GF Basic + GF WD","","PRESENT","Primary"
"1923",1149,"12/5/17","PAC Cat","","PRESENT","Primary"
"2463",2100,"3/11/18","PAC Cat","","PRESENT","Primary"
"774",1459,"5/9/17","PAC Cat","","PRESENT","Primary"
"1182",1189,"7/25/17","PAC Cat","","PRESENT","Primary"
"2576",1869,"04/08/18","PAC Cat","","PRESENT","Primary"
"2967",1953,"6/24/18","GF Basic","","PRESENT","Primary"
"2809",2029,"5/20/18","PAC Cat","","PRESENT","Primary"
"1376",1193,"8/27/17","GF Basic","","PRESENT","Primary"
"1894",1363,"12/3/17","GF Basic + GF WD","","PRESENT","Primary"
"193",1034,"2/5/17","PAC Dog","","PRESENT","Primary"
"1765",2052,"11/7/17","PAC Cat","","PRESENT","Primary"
"2548",2048,"03/30/18","GF Basic","","PRESENT","Primary"
"2596",2048,"04/08/18","GF WD","","PRESENT","Secondary"
"1885",1383,"11/18/17","PAC Cat","","PRESENT","Primary"
"2444",1960,"3/6/18","NE","","PRESENT","Primary"
"2473",1788,"03/18/18","PAC Cat","","PRESENT","Primary"
"692",1507,"4/25/17","PAC Cat","","PRESENT","Primary"
"1918",1044,"12/3/17","NE","","PRESENT","Primary"
"955",1369,"6/11/17","PAC Dog","","PRESENT","Primary"
"887",1369,"6/4/17","PAC Cat","","PRESENT","Secondary"
"1722",1725,"10/31/17","PAC Cat","","PRESENT","Primary"
"1804",1725,"11/12/17","GF Basic + GF WD","","PRESENT","Secondary"
"1784",1725,"11/7/17","PAC Dog","","PRESENT","Secondary"
"1806",1186,"11/12/17","GF Basic + GF WD","","PRESENT","Primary"
"2992",1950,"6/26/18","PAC Dog","","PRESENT","Primary"
"1445",1184,"9/10/17","PAC Cat","","PRESENT","Primary"
"2638",2039,"4/15/18","GF Basic","","PRESENT","Primary"
"2885",2072,"6/5/18","NE","","PRESENT","Primary"
"1585",1742,"10/3/17","NE","","PRESENT","Primary"
"831",1551,"5/21/17","GF Basic + GF WD","","PRESENT","Primary"
"2919",2040,"6/12/18","PAC Dog","","PRESENT","Primary"
"1969",1417,"12/17/17","PAC Cat","","PRESENT","Primary"
"1240",1254,"8/1/17","NE","","PRESENT","Primary"
"2294",2119,"2/11/18","PAC Cat","","PRESENT","Primary"
"2411",2119,"3/4/18","GF Basic","","PRESENT","Secondary"
"1766",2109,"11/7/17","PAC Cat","","PRESENT","Primary"
"2903",2025,"6/10/18","GF Basic","","PRESENT","Primary"
"2363",1897,"2/20/18","NE","","PRESENT","Primary"
"2652",2073,"4/17/18","NE","","PRESENT","Primary"
"1943",1365,"12/10/17","PAC Cat","","PRESENT","Primary"
"2743",1748,"5/8/18","PAC Cat","","PRESENT","Primary"
"1714",1431,"10/29/17","PAC Cat","","PRESENT","Primary"
"485",1547,"3/19/17","GF Basic","","PRESENT","Primary"
"2313",2000,"2/18/18","GF Basic + GF WD","","PRESENT","Primary"
"464",1354,"3/12/17","NE","","PRESENT","Primary"
"2627",1898,"4/15/18","GF Basic + GF WD","","PRESENT","Primary"
"1438",1324,"9/5/17","NE","","PRESENT","Primary"
"744",1216,"5/7/17","PAC Cat","","PRESENT","Primary"
"2784",1970,"5/15/18","PAC Dog","","PRESENT","Primary"
"1579",1414,"10/1/17","NE","","PRESENT","Primary"
"1419",1707,"9/3/17","NE","","PRESENT","Primary"
"297",1319,"2/19/17","GF Basic","","PRESENT","Primary"
"922",1238,"6/4/17","NE","","PRESENT","Primary"
"2485",2238,"03/18/18","GF Basic + GF WD","","PRESENT","Primary"
"2469",2128,"03/13/18","PAC Cat","","PRESENT","Primary"
"2762",1955,"5/13/18","GF Basic","","PRESENT","Primary"
"2905",1955,"6/10/18","GF WD","","PRESENT","Secondary"
"2996",1858,"7/1/18","NE","","PRESENT","Primary"
"1549",1142,"10/1/17","PAC Cat","","PRESENT","Primary"
"2766",1956,"5/13/18","GF Basic","","PRESENT","Primary"
"1179",1505,"7/23/17","PAC Cat","","PRESENT","Primary"
"1607",1176,"10/8/17","PAC Cat","","PRESENT","Primary"
"1684",1718,"10/22/17","PAC Cat","","PRESENT","Primary"
"2727",2147,"5/1/18","PAC Cat","","PRESENT","Primary"
"2636",2010,"4/15/18","GF Basic + GF WD","","PRESENT","Primary"
"2782",2050,"5/15/18","PAC Dog","","PRESENT","Primary"
"2511",2121,"03/18/18","NE","","PRESENT","Primary"
"1423",1595,"9/5/17","PAC Cat","","PRESENT","Primary"
"2066",1889,"1/7/18","NE","","PRESENT","Primary"
"1078",1172,"7/2/17","GF Basic + GF WD","","PRESENT","Primary"
"1181",1666,"7/23/17","PAC Cat","","PRESENT","Primary"
"1788",1333,"11/7/17","PAC Dog","","PRESENT","Primary"
"613",1494,"4/9/17","GF Basic","","PRESENT","Primary"
"2273",1971,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"1461",1437,"9/10/17","GF Basic + GF WD","","PRESENT","Primary"
"811",1709,"5/16/17","PAC Cat","","PRESENT","Primary"
"1163",1691,"7/16/17","NE","","PRESENT","Primary"
"2458",2103,"3/11/18","PAC Cat","","PRESENT","Primary"
"2069",2087,"1/9/18","PAC Cat","","PRESENT","Primary"
"2668",2196,"4/22/18","PAC Cat","","PRESENT","Primary"
"2264",1913,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"1591",1307,"10/3/17","PAC Cat","","PRESENT","Primary"
"1582",1495,"10/3/17","NE","","PRESENT","Primary"
"987",1627,"6/11/17","NE","","PRESENT","Primary"
"2651",2009,"4/17/18","NE","","PRESENT","Primary"
"2468",1769,"03/13/18","PAC Cat","","PRESENT","Primary"
"250",2201,"2/12/17","GF Basic","","PRESENT","Primary"
"2471",2201,"03/18/18","PAC Cat","","PRESENT","Secondary"
"476",1325,"3/19/17","GF Basic + GF WD","","PRESENT","Primary"
"279",1899,"2/19/17","PAC Cat","","PRESENT","Primary"
"1616",1151,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"1451",1328,"9/10/17","GF Basic","","PRESENT","Primary"
"1938",1580,"12/5/17","NE","","PRESENT","Primary"
"1447",2156,"9/10/17","PAC Cat","","PRESENT","Primary"
"1890",1326,"12/3/17","PAC Cat","","PRESENT","Primary"
"267",1404,"2/12/17","NE","","PRESENT","Primary"
"1397",1404,"8/29/17","PAC Cat","","PRESENT","Secondary"
"2617",2060,"4/10/18","PAC Cat","","PRESENT","Primary"
"2611",2031,"04/08/18","NE","","PRESENT","Primary"
"1917",1486,"12/3/17","NE","","PRESENT","Primary"
"2816",1849,"5/22/18","PAC Cat","","PRESENT","Primary"
"2844",1849,"6/3/18","GF Basic + GF WD","","PRESENT","Secondary"
"1456",1099,"9/10/17","GF Basic","","PRESENT","Primary"
"1383",1611,"8/27/17","GF Basic + GF WD","","PRESENT","Primary"
"2963",1762,"6/24/18","PAC Cat","","PRESENT","Primary"
"2710",1934,"4/29/18","GF Basic + GF WD","","PRESENT","Primary"
"2819",1846,"5/22/18","PAC Cat","","PRESENT","Primary"
"1571",1097,"10/1/17","NE","","PRESENT","Primary"
"1753",1285,"11/5/17","NE","","PRESENT","Primary"
"2232",1957,"2/6/18","PAC Cat","","PRESENT","Primary"
"650",1079,"4/18/17","PAC Cat","","PRESENT","Primary"
"1608",1242,"10/8/17","PAC Cat","","PRESENT","Primary"
"1964",1472,"12/12/17","PAC Cat","","PRESENT","Primary"
"1259",1022,"8/6/17","GF Basic","","PRESENT","Primary"
"1921",1076,"12/5/17","PAC Cat","","PRESENT","Primary"
"1510",1297,"9/22/17","NE","","PRESENT","Primary"
"1514",1018,"9/22/17","NE","","PRESENT","Primary"
"2380",1821,"2/25/18","GF Basic + GF WD","","PRESENT","Primary"
"1172",1183,"7/18/17","PAC Cat","","PRESENT","Primary"
"2179",2202,"1/23/18","PAC Dog","","PRESENT","Primary"
"2071",2202,"1/9/18","PAC Cat","","PRESENT","Secondary"
"342",1633,"2/26/17","PAC Dog","","PRESENT","Primary"
"896",1070,"6/4/17","GF Basic + GF WD","","PRESENT","Primary"
"2830",1975,"6/3/18","PAC Cat","","PRESENT","Primary"
"2606",2174,"04/08/18","NE","","PRESENT","Primary"
"2291",2125,"2/11/18","PAC Cat","","PRESENT","Primary"
"169",1530,"1/29/17","NE","","PRESENT","Primary"
"598",1668,"4/9/17","PAC Cat","","PRESENT","Primary"
"2567",2083,"04/03/18","PAC Cat","","PRESENT","Primary"
"2754",1791,"5/13/18","PAC Cat","","PRESENT","Primary"
"527",1367,"3/26/17","GF Basic","","PRESENT","Primary"
"1623",1181,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"2171",1852,"1/23/18","PAC Cat","","PRESENT","Primary"
"921",1384,"6/4/17","NE","","PRESENT","Primary"
"2817",1952,"5/22/18","PAC Cat","","PRESENT","Primary"
"1057",1102,"6/27/17","NE","","PRESENT","Primary"
"2705",2168,"4/29/18","GF Basic + GF WD","","PRESENT","Primary"
"1863",1608,"11/21/17","PAC Cat","","PRESENT","Primary"
"1488",1694,"9/17/17","NE","","PRESENT","Primary"
"2884",1775,"6/5/18","NE","","PRESENT","Primary"
"1769",1679,"11/7/17","PAC Cat","","PRESENT","Primary"
"1437",1456,"9/5/17","NE","","PRESENT","Primary"
"356",1096,"2/26/17","GF Basic ","","PRESENT","Primary"
"1410",1457,"8/31/17","NE","","PRESENT","Primary"
"2169",2075,"1/23/18","PAC Cat","","PRESENT","Primary"
"1770",1318,"11/7/17","PAC Cat","","PRESENT","Primary"
