"","ID","Orientation.Date","Type","NOT.Attending","Present","orientation"
"2466",1888,"03/13/18","PAC Cat","","PRESENT","Primary"
"1140",1227,"7/11/17","NE","","PRESENT","Primary"
"2764",1903,"5/13/18","GF Basic","","PRESENT","Primary"
"2850",1903,"6/3/18","GF WD","","PRESENT","Secondary"
"2954",2179,"6/19/18","PAC Cat","","PRESENT","Primary"
"1555",1639,"10/1/17","GF Basic + GF WD","","PRESENT","Primary"
"2451",2228,"3/6/18","NE","","PRESENT","Primary"
"1614",1210,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"716",1012,"4/30/17","GF Basic + GF WD","","PRESENT","Primary"
"2553",2066,"04/03/18","NE","","PRESENT","Primary"
"2673",2165,"4/22/18","GF Basic","","PRESENT","Primary"
"2674",2153,"4/22/18","GF Basic","","PRESENT","Primary"
"1472",1232,"9/12/17","PAC Cat","","PRESENT","Primary"
"2703",2076,"4/29/18","GF Basic","","PRESENT","Primary"
"1547",1013,"10/1/17","PAC Cat","","PRESENT","Primary"
"2364",2139,"2/20/18","NE","","PRESENT","Primary"
"1312",1513,"8/13/17","NE","","PRESENT","Primary"
"1217",1534,"7/30/17","GF Basic","","PRESENT","Primary"
"1261",1516,"8/6/17","GF Basic","","PRESENT","Primary"
"1965",1103,"12/12/17","PAC Cat","","PRESENT","Primary"
"1873",1225,"11/21/17","PAC Dog","","PRESENT","Primary"
"1879",1631,"11/21/17","NE","","PRESENT","Primary"
"2178",2022,"1/23/18","PAC Dog","","PRESENT","Primary"
"1696",1062,"10/22/17","GF Basic + GF WD","","PRESENT","Primary"
"787",1481,"5/14/17","PAC Cat","","PRESENT","Primary"
"2167",2130,"1/23/18","PAC Cat","","PRESENT","Primary"
"2911",1790,"6/12/18","PAC Cat","","PRESENT","Primary"
"65",1120,"1/15/17","GF Basic + GF WD","","PRESENT","Primary"
"2505",1786,"03/18/18","NE","","PRESENT","Primary"
"2887",1855,"6/5/18","NE","","PRESENT","Primary"
"2183",1958,"1/28/18","PAC Cat","","PRESENT","Primary"
"2478",2081,"03/18/18","GF Basic + GF WD","","PRESENT","Primary"
"2573",2081,"04/03/18","PAC Dog","","PRESENT","Secondary"
"2725",2098,"5/1/18","PAC Cat","","PRESENT","Primary"
"2215",1817,"2/4/17","PAC Cat","","PRESENT","Primary"
"1382",1265,"8/27/17","GF Basic + GF WD","","PRESENT","Primary"
"589",2105,"4/4/17","NE","","PRESENT","Primary"
"2353",2105,"2/20/18","NE","","PRESENT","Secondary"
"28",1654,"1/8/17","NE","","PRESENT","Primary"
"653",1073,"4/18/17","NE","","PRESENT","Primary"
"2115",2045,"1/16/18","PAC Cat","","PRESENT","Primary"
"1962",1296,"12/12/17","PAC Cat","","PRESENT","Primary"
"1974",1296,"12/17/17","GF Basic + GF WD","","PRESENT","Secondary"
"1400",1650,"8/29/17","PAC Cat","","PRESENT","Primary"
"2359",1812,"2/20/18","NE","","PRESENT","Primary"
"1477",1075,"9/17/17","PAC Cat","","PRESENT","Primary"
"2529",1891,"03/27/18","PAC Cat","","PRESENT","Primary"
"2321",2177,"2/18/18","GF WD","","PRESENT","Primary"
"2964",1895,"6/24/18","GF Basic","","PRESENT","Primary"
"2132",2017,"1/21/18","PAC Cat","","PRESENT","Primary"
"588",1109,"4/4/17","NE","","PRESENT","Primary"
"1434",1961,"9/5/17","PAC Dog","","PRESENT","Primary"
"2717",2190,"4/29/18","GF WD","","PRESENT","Primary"
"810",1284,"5/16/17","PAC Cat","","PRESENT","Primary"
"2601",2166,"04/08/18","NE","","PRESENT","Primary"
"1474",1389,"9/12/17","PAC Cat","","PRESENT","Primary"
"1650",1705,"10/17/17","NE","","PRESENT","Primary"
"2270",2208,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"2455",1928,"3/6/18","PAC Dog","","PRESENT","Primary"
"1622",1469,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"581",1387,"4/4/17","PAC Cat","","PRESENT","Primary"
"142",1010,"1/29/17","PAC Cat","","PRESENT","Primary"
"836",1353,"5/21/17","GF Basic","","PRESENT","Primary"
"1137",1171,"7/11/17","PAC Cat","","PRESENT","Primary"
"2804",2108,"5/18/18","GF Basic","","PRESENT","Primary"
"2271",1999,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"2888",2064,"6/10/18","PAC Cat","","PRESENT","Primary"
"1209",1135,"7/30/17","PAC Cat","","PRESENT","Primary"
"1999",1251,"12/17/17","NE","","PRESENT","Primary"
"351",1048,"2/26/17","GF Basic  + GF WD","","PRESENT","Primary"
"1108",1345,"7/9/17","PAC Cat","","PRESENT","Primary"
"1279",1345,"8/8/17","PAC Dog","","PRESENT","Secondary"
"1786",1697,"11/7/17","PAC Dog","","PRESENT","Primary"
"2874",2137,"6/5/18","PAC Cat","","PRESENT","Primary"
"1101",1235,"7/2/17","NE","","PRESENT","Primary"
"1185",1129,"7/25/17","PAC Cat","","PRESENT","Primary"
"2749",2143,"5/8/18","PAC Cat","","PRESENT","Primary"
"1422",1377,"9/5/17","PAC Cat","","PRESENT","Primary"
"2245",2181,"2/6/18","NE","","PRESENT","Primary"
"2780",1994,"5/15/18","PAC Dog","","PRESENT","Primary"
"1363",1635,"8/22/17","PAC Cat","","PRESENT","Primary"
"2902",1777,"6/10/18","GF Basic + GF WD","","PRESENT","Primary"
"1556",2227,"10/1/17","GF Basic + GF WD","","PRESENT","Primary"
"1207",2227,"7/30/17","PAC Cat","","PRESENT","Secondary"
"1448",1575,"9/10/17","PAC Cat","","PRESENT","Primary"
"1431",1575,"9/5/17","PAC Dog","","PRESENT","Secondary"
"666",1267,"4/23/17","GF Basic + GF WD","","PRESENT","Primary"
"2873",1771,"6/5/18","PAC Cat","","PRESENT","Primary"
"1661",1425,"10/17/17","NE","","PRESENT","Primary"
"1888",1726,"12/3/17","PAC Cat","","PRESENT","Primary"
"1189",1067,"7/25/17","PAC Dog","","PRESENT","Primary"
"1218",1067,"7/30/17","GF Basic + GF WD","","PRESENT","Secondary"
"1561",1618,"10/1/17","GF Basic + GF WD","","PRESENT","Primary"
"1600",1618,"10/3/17","PAC Dog","","PRESENT","Secondary"
"1767",1643,"11/7/17","PAC Cat","","PRESENT","Primary"
"2479",1643,"03/18/18","GF Basic + GF WD","","PRESENT","Secondary"
"1497",1157,"9/19/17","PAC Cat","","PRESENT","Primary"
"2227",1815,"2/6/18","PAC Cat","","PRESENT","Primary"
"1599",1696,"10/3/17","PAC Dog","","PRESENT","Primary"
"2347",2171,"2/20/18","PAC Cat","","PRESENT","Primary"
"1518",1540,"9/24/17","PAC Cat","","PRESENT","Primary"
"1199",1498,"7/27/17","NE","","PRESENT","Primary"
"1406",1261,"8/31/17","NE","","PRESENT","Primary"
"672",1222,"4/23/17","GF Basic","","PRESENT","Primary"
"583",1222,"4/4/17","PAC Cat","","PRESENT","Secondary"
"1028",1336,"6/25/17","PAC Cat","","PRESENT","Primary"
"2742",1935,"5/6/18","PAC Cat","","PRESENT","Primary"
"2299",1998,"2/18/18","PAC Cat","","PRESENT","Primary"
"1157",1592,"7/16/17","PAC Cat","","PRESENT","Primary"
"1792",1615,"11/12/17","PAC Cat","","PRESENT","Primary"
"1248",1348,"8/6/17","PAC Cat","","PRESENT","Primary"
"2101",2053,"1/14/18","GF WD","","PRESENT","Primary"
"2046",2053,"1/7/18","GF Basic","","PRESENT","Secondary"
"400",1728,"3/5/17","GF WD","","PRESENT","Primary"
"1955",1688,"12/10/17","GF Basic","","PRESENT","Primary"
"1881",1744,"11/21/17","NE","","PRESENT","Primary"
"1597",2047,"10/3/17","PAC Dog","","PRESENT","Primary"
"2004",1105,"12/19/17","PAC Cat","","PRESENT","Primary"
"1734",1685,"11/5/17","GF Basic + GF WD","","PRESENT","Primary"
"1188",1541,"7/25/17","PAC Cat","","PRESENT","Primary"
"1281",1657,"8/8/17","PAC Dog","","PRESENT","Primary"
"945",1645,"6/6/17","PAC Dog","","PRESENT","Primary"
"1560",1160,"10/1/17","GF Basic + GF WD","","PRESENT","Primary"
"350",1038,"2/26/17","GF Basic  + GF WD","","PRESENT","Primary"
"592",1038,"4/4/17","NE","","PRESENT","Secondary"
"1000",2008,"6/18/17","PAC Cat","","PRESENT","Primary"
"2666",2008,"4/17/18","PAC Dog","","PRESENT","Secondary"
"2769",2008,"5/13/18","GF Basic","","PRESENT","Secondary"
"1273",2112,"8/8/17","PAC Cat","","PRESENT","Primary"
"1435",2112,"9/5/17","PAC Dog","","PRESENT","Secondary"
"2072",2162,"1/9/18","PAC Cat","","PRESENT","Primary"
"55",1883,"1/15/17","PAC Cat","","PRESENT","Primary"
"124",1504,"1/24/17","PAC Cat","","PRESENT","Primary"
"950",2080,"6/11/17","PAC Cat","","PRESENT","Primary"
"1708",1452,"10/24/17","PAC Cat","","PRESENT","Primary"
"528",1003,"3/26/17","GF Basic + GF WD","","PRESENT","Primary"
"248",1603,"2/12/17","GF Basic","","PRESENT","Primary"
"1505",NA,"9/22/17","NE","","PRESENT","Primary"
"2734",NA,"5/1/18","NE","","PRESENT","Secondary"
"1138",1623,"7/11/17","PAC Cat","","PRESENT","Primary"
"1886",1545,"11/18/17","PAC Cat","","PRESENT","Primary"
"1164",1545,"7/16/17","NE","","PRESENT","Secondary"
"1283",1028,"8/13/17","GF Basic + GF WD","","PRESENT","Primary"
"1479",1374,"9/17/17","PAC Cat","","PRESENT","Primary"
"2811",2113,"5/20/18","NE","","PRESENT","Primary"
"1587",NA,"10/3/17","PAC Cat","","PRESENT","Primary"
"2917",1972,"6/12/18","PAC Dog","","PRESENT","Primary"
"2519",1912,"03/20/18","PAC Cat","","PRESENT","Primary"
"856",1648,"5/21/17","NE","","PRESENT","Primary"
"1654",1358,"10/17/17","NE","","PRESENT","Primary"
"2035",1200,"1/2/18","PAC Cat","","PRESENT","Primary"
"1282",1693,"8/8/17","PAC Dog","","PRESENT","Primary"
"1818",1565,"11/14/17","PAC Cat","","PRESENT","Primary"
"2247",2148,"2/6/18","NE","","PRESENT","Primary"
"1732",1086,"11/5/17","GF Basic + GF WD","","PRESENT","Primary"
"1713",1008,"10/24/17","PAC Cat","","PRESENT","Primary"
"682",1698,"4/23/17","NE","","PRESENT","Primary"
"1065",1170,"6/27/17","PAC Cat","","PRESENT","Primary"
"2443",2155,"3/6/18","PAC Cat","","PRESENT","Primary"
"518",2223,"3/26/17","PAC Dog","","PRESENT","Primary"
"2787",2038,"5/15/18","NE","","PRESENT","Primary"
"866",1537,"5/23/17","PAC Cat","","PRESENT","Primary"
"1059",1564,"6/27/17","NE","","PRESENT","Primary"
"2550",2090,"03/30/18","GF Basic","","PRESENT","Primary"
"1823",1111,"11/19/17","PAC Cat","","PRESENT","Primary"
"1145",1539,"7/11/17","PAC Dog","","PRESENT","Primary"
"904",1566,"6/4/17","GF Basic + GF WD","","PRESENT","Primary"
"2063",1863,"1/7/18","NE","","PRESENT","Primary"
"1348",1604,"8/20/17","GF Basic + GF WD","","PRESENT","Primary"
"2931",2163,"6/17/18","GF Basic","","PRESENT","Primary"
"2136",2116,"1/21/18","GF Basic","","PRESENT","Primary"
"2078",2132,"1/9/18","PAC Dog","","PRESENT","Primary"
"2628",1984,"4/15/18","GF Basic","","PRESENT","Primary"
"341",1334,"2/26/17","PAC Dog","","PRESENT","Primary"
"2876",1977,"6/5/18","NE","","PRESENT","Primary"
"2994",1948,"6/26/18","PAC Dog","","PRESENT","Primary"
"2691",1816,"4/24/18","PAC Cat","","PRESENT","Primary"
"753",1231,"5/7/17","GF Basic + GF WD","","PRESENT","Primary"
"1246",1162,"8/1/17","PAC Cat","","PRESENT","Primary"
"1830",1356,"11/19/17","GF Basic","","PRESENT","Primary"
"1415",2035,"9/3/17","NE","","PRESENT","Primary"
"1737",1764,"11/5/17","GF Basic","","PRESENT","Primary"
"2000",1276,"12/17/17","NE","","PRESENT","Primary"
"1801",1091,"11/12/17","GF Basic + GF WD","","PRESENT","Primary"
"2269",1892,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"1835",1152,"11/19/17","GF Basic + GF WD","","PRESENT","Primary"
"1586",1418,"10/3/17","NE","","PRESENT","Primary"
"10",1413,"1/8/17","GF Basic","","PRESENT","Primary"
"2962",2191,"6/24/18","PAC Cat","","PRESENT","Primary"
"2865",2024,"6/3/18","NE","","PRESENT","Primary"
"1436",1401,"9/5/17","NE","","PRESENT","Primary"
"1166",1409,"7/16/17","NE","","PRESENT","Primary"
"1371",1409,"8/27/17","PAC Cat","","PRESENT","Secondary"
"2124",1787,"1/16/18","NE","","PRESENT","Primary"
"2522",2213,"03/20/18","PAC Cat","","PRESENT","Primary"
"1343",1192,"8/20/17","GF Basic + GF WD","","PRESENT","Primary"
"92",1792,"1/17/17","PAC Dog","","PRESENT","Primary"
"2012",1078,"12/19/17","PAC Dog","","PRESENT","Primary"
"147",1778,"1/29/17","PAC Dog","","PRESENT","Primary"
"1655",1266,"10/17/17","NE","","PRESENT","Primary"
"419",1177,"3/7/17","NE","","PRESENT","Primary"
"329",1441,"2/21/17","NE","","PRESENT","Primary"
"2225",1927,"2/4/17","NE","","PRESENT","Primary"
"2093",1754,"1/14/18","GF Basic + GF WD","","PRESENT","Primary"
"1578",1004,"10/1/17","NE","","PRESENT","Primary"
"2870",2224,"6/5/18","PAC Cat","","PRESENT","Primary"
"784",1663,"5/9/17","PAC Dog","","PRESENT","Primary"
"1920",1161,"12/5/17","PAC Cat","","PRESENT","Primary"
"1476",1407,"9/17/17","PAC Cat","","PRESENT","Primary"
"1517",2057,"9/24/17","PAC Cat","","PRESENT","Primary"
"688",1471,"4/23/17","NE","","PRESENT","Primary"
"1116",1041,"7/9/17","GF Basic + GF WD","","PRESENT","Primary"
"2055",1835,"1/7/18","GF WD","","PRESENT","Primary"
"985",1005,"6/11/17","NE","","PRESENT","Primary"
"1126",1016,"7/9/17","GF Basic + GF WD","","PRESENT","Primary"
"1624",1168,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"1919",1168,"12/3/17","NE","","PRESENT","Secondary"
"1492",1264,"9/19/17","PAC Cat","","PRESENT","Primary"
"2588",2003,"04/08/18","GF Basic + GF WD","","PRESENT","Primary"
"1487",1746,"9/17/17","NE","","PRESENT","Primary"
"2872",1873,"6/5/18","PAC Cat","","PRESENT","Primary"
"2480",2225,"03/18/18","GF Basic + GF WD","","PRESENT","Primary"
"411",1081,"3/7/17","PAC Cat","","PRESENT","Primary"
"1331",1169,"8/15/17","PAC Cat","","PRESENT","Primary"
"2933",1767,"6/17/18","GF Basic + GF WD","","PRESENT","Primary"
"2044",1774,"1/7/18","GF Basic + GF WD","","PRESENT","Primary"
"657",1310,"4/18/17","NE","","PRESENT","Primary"
"2934",1885,"6/17/18","GF Basic + GF WD","","PRESENT","Primary"
"1220",1211,"7/30/17","GF Basic + GF WD","","PRESENT","Primary"
"106",1130,"1/22/17","GF Basic","","PRESENT","Primary"
"1007",1600,"6/18/17","PAC Dog","","PRESENT","Primary"
"3003",2067,"7/1/18","NE","","PRESENT","Primary"
"468",1703,"3/12/17","NE","","PRESENT","Primary"
"2955",1770,"6/19/18","PAC Cat","","PRESENT","Primary"
"335",1862,"2/26/17","PAC Cat","","PRESENT","Primary"
"2745",1773,"5/8/18","PAC Cat","","PRESENT","Primary"
"1851",1704,"11/19/17","NE","","PRESENT","Primary"
"2558",2078,"04/03/18","NE","","PRESENT","Primary"
"2037",1085,"1/2/18","PAC Cat","","PRESENT","Primary"
"2822",1976,"5/22/18","PAC Cat","","PRESENT","Primary"
"2690",2054,"4/24/18","PAC Cat","","PRESENT","Primary"
"2490",1911,"03/18/18","GF Basic + GF WD","","PRESENT","Primary"
"2189",1824,"1/28/18","GF Basic + GF WD","","PRESENT","Primary"
"2177",1753,"1/23/18","PAC Dog","","PRESENT","Primary"
"2986",1878,"6/26/18","PAC Cat","","PRESENT","Primary"
"2268",2199,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"2400",2167,"3/4/18","PAC Cat","","PRESENT","Primary"
"2220",2111,"2/4/17","NE","","PRESENT","Primary"
"2032",1569,"1/2/18","NE","","PRESENT","Primary"
"2878",2094,"6/5/18","NE","","PRESENT","Primary"
"1485",1089,"9/17/17","NE","","PRESENT","Primary"
"2744",1951,"5/8/18","PAC Cat","","PRESENT","Primary"
"952",1381,"6/11/17","PAC Cat","","PRESENT","Primary"
"1728",1759,"11/5/17","PAC Cat","","PRESENT","Primary"
"1052",1084,"6/25/17","GF WD","","PRESENT","Primary"
"899",1084,"6/4/17","GF Basic + GF WD","","PRESENT","Secondary"
"2236",1828,"2/6/18","PAC Cat","","PRESENT","Primary"
"1726",1923,"11/5/17","PAC Cat","","PRESENT","Primary"
"1213",1733,"7/30/17","GF Basic + GF WD","","PRESENT","Primary"
"2753",2219,"5/8/18","PAC Dog","","PRESENT","Primary"
"1690",1009,"10/22/17","GF Basic","","PRESENT","Primary"
"1936",1009,"12/5/17","NE","","PRESENT","Secondary"
"1107",1475,"7/2/17","NE","","PRESENT","Primary"
"20",1723,"1/8/17","GF WD","","PRESENT","Primary"
"2140",1857,"1/21/18","GF Basic","","PRESENT","Primary"
"2639",1880,"4/15/18","GF Basic","","PRESENT","Primary"
"515",1446,"3/26/17","PAC Dog","","PRESENT","Primary"
"561",1446,"4/2/17","GF Basic + GF WD","","PRESENT","Secondary"
"2445",1772,"3/6/18","NE","","PRESENT","Primary"
"1251",1131,"8/6/17","PAC Cat","","PRESENT","Primary"
"1278",1131,"8/8/17","PAC Dog","","PRESENT","Secondary"
"1963",1502,"12/12/17","PAC Cat","","PRESENT","Primary"
"2467",1853,"03/13/18","PAC Cat","","PRESENT","Primary"
"827",1339,"5/21/17","PAC Cat","","PRESENT","Primary"
"1146",1734,"7/11/17","PAC Dog","","PRESENT","Primary"
"44",1572,"1/10/17","NE","","PRESENT","Primary"
"2118",1819,"1/16/18","NE","","PRESENT","Primary"
"2246",2207,"2/6/18","NE","","PRESENT","Primary"
"1025",1634,"6/25/17","PAC Cat","","PRESENT","Primary"
"2048",1841,"1/7/18","GF Basic","","PRESENT","Primary"
"881",1664,"5/30/17","NE","","PRESENT","Primary"
"1719",1023,"10/29/17","PAC Cat","","PRESENT","Primary"
"2197",2006,"1/28/18","GF WD","CANCELLED","PRESENT","Primary"
"565",1411,"4/2/17","GF Basic","","PRESENT","Primary"
"1824",1289,"11/19/17","PAC Cat","","PRESENT","Primary"
"1252",2058,"8/6/17","PAC Cat","","PRESENT","Primary"
"1495",2037,"9/19/17","PAC Cat","","PRESENT","Primary"
"2483",2144,"03/18/18","GF Basic + GF WD","","PRESENT","Primary"
"2405",2144,"3/4/18","PAC Cat","","PRESENT","Secondary"
"1653",1736,"10/17/17","NE","","PRESENT","Primary"
"155",1653,"1/29/17","GF Basic","","PRESENT","Primary"
"1739",1653,"11/5/17","GF Basic","","PRESENT","Secondary"
"2700",1983,"4/29/18","PAC Cat","","PRESENT","Primary"
"2751",1983,"5/8/18","PAC Dog","","PRESENT","Secondary"
"2300",1820,"2/18/18","PAC Cat","","PRESENT","Primary"
"2434",2140,"3/4/18","NE","","PRESENT","Primary"
"1399",1386,"8/29/17","PAC Cat","","PRESENT","Primary"
"2192",1386,"1/28/18","GF Basic + GF WD","","PRESENT","Secondary"
"1982",1349,"12/17/17","GF Basic + GF WD","","PRESENT","Primary"
"2773",2097,"5/15/18","PAC Cat","","PRESENT","Primary"
"601",1526,"4/9/17","PAC Cat","","PRESENT","Primary"
"88",1802,"1/17/17","PAC Cat","","PRESENT","Primary"
"1557",1002,"10/1/17","GF Basic + GF WD","","PRESENT","Primary"
"2767",2115,"5/13/18","GF Basic","","PRESENT","Primary"
"1841",1624,"11/19/17","GF Basic","","PRESENT","Primary"
"855",1579,"5/21/17","NE","","PRESENT","Primary"
"2737",2044,"5/6/18","PAC Cat","","PRESENT","Primary"
"290",1069,"2/19/17","GF Basic + GF WD","","PRESENT","Primary"
"2806",2062,"5/20/18","PAC Cat","","PRESENT","Primary"
"2670",1959,"4/22/18","PAC Cat","","PRESENT","Primary"
"1158",1229,"7/16/17","NE","","PRESENT","Primary"
"859",1175,"5/21/17","NE","","PRESENT","Primary"
"2772",2013,"5/15/18","PAC Cat","","PRESENT","Primary"
"1803",1560,"11/12/17","GF Basic + GF WD","","PRESENT","Primary"
"2524",1933,"03/25/18","PAC Cat","","PRESENT","Primary"
"2053",2142,"1/7/18","GF Basic + GF WD","","PRESENT","Primary"
"1710",1275,"10/24/17","PAC Cat","","PRESENT","Primary"
"1729",1191,"11/5/17","PAC Cat","","PRESENT","Primary"
"2028",1848,"1/2/18","NE","","PRESENT","Primary"
"2614",2089,"4/10/18","PAC Cat","","PRESENT","Primary"
"2351",1865,"2/20/18","PAC Dog","","PRESENT","Primary"
"996",1942,"6/13/17","PAC Cat","","PRESENT","Primary"
"1009",1942,"6/18/17","PAC Dog","","PRESENT","Secondary"
"2158",1877,"1/21/18","NE","","PRESENT","Primary"
"2159",1875,"1/21/18","NE","","PRESENT","Primary"
"2696",2033,"4/29/18","PAC Cat","","PRESENT","Primary"
"1250",1398,"8/6/17","PAC Cat","","PRESENT","Primary"
"2207",1659,"1/30/18","PAC Cat","","PRESENT","Primary"
"780",1050,"5/9/17","PAC Dog","","PRESENT","Primary"
"1136",1978,"7/11/17","PAC Cat","","PRESENT","Primary"
"2084",2133,"1/14/18","PAC Cat","","PRESENT","Primary"
"2087",2020,"1/14/18","GF Basic + GF WD","","PRESENT","Primary"
"330",1032,"2/21/17","NE","","PRESENT","Primary"
"1998",1101,"12/17/17","NE","","PRESENT","Primary"
"658",1487,"4/18/17","NE","","PRESENT","Primary"
"1215",1306,"7/30/17","GF Basic + GF WD","","PRESENT","Primary"
"2145",2214,"1/21/18","GF Basic","","PRESENT","Primary"
"1559",1599,"10/1/17","GF Basic + GF WD","","PRESENT","Primary"
"1679",1599,"10/17/17","PAC Dog","","PRESENT","Secondary"
"2988",1784,"6/26/18","PAC Cat","","PRESENT","Primary"
"959",1255,"6/11/17","GF Basic + GF WD","","PRESENT","Primary"
"2318",1859,"2/18/18","GF WD","","PRESENT","Primary"
"2229",1859,"2/6/18","PAC Cat","","PRESENT","Secondary"
"2984",2231,"6/26/18","PAC Cat","","PRESENT","Primary"
"2360",2016,"2/20/18","NE","","PRESENT","Primary"
"1662",1485,"10/17/17","NE","","PRESENT","Primary"
"1707",1236,"10/24/17","PAC Cat","","PRESENT","Primary"
"125",1879,"1/24/17","PAC Cat","","PRESENT","Primary"
"189",1556,"2/5/17","PAC Cat","","PRESENT","Primary"
"2798",2124,"5/18/18","GF Basic","","PRESENT","Primary"
"2033",1621,"1/2/18","PAC Cat","","PRESENT","Primary"
"963",1055,"6/11/17","GF Basic + GF WD","","PRESENT","Primary"
"2237",2126,"2/6/18","PAC Dog","","PRESENT","Primary"
"2001",1700,"12/19/17","PAC Cat","","PRESENT","Primary"
"1260",1510,"8/6/17","GF Basic + GF WD","","PRESENT","Primary"
"1523",1074,"9/24/17","GF Basic + GF WD","","PRESENT","Primary"
"2912",1826,"6/12/18","PAC Cat","","PRESENT","Primary"
"2022",1153,"12/26/17","PAC Cat","","PRESENT","Primary"
"865",1185,"5/23/17","PAC Cat","","PRESENT","Primary"
"1223",1185,"7/30/17","GF Basic + GF WD","","PRESENT","Secondary"
"2408",1963,"3/4/18","GF Basic + GF WD","","PRESENT","Primary"
"2834",1930,"6/3/18","PAC Cat","","PRESENT","Primary"
"1192",1501,"7/25/17","PAC Dog","","PRESENT","Primary"
"1274",1501,"8/8/17","PAC Cat","","PRESENT","Secondary"
"885",1436,"5/30/17","NE","","PRESENT","Primary"
"608",1196,"4/9/17","GF Basic","","PRESENT","Primary"
"2936",1965,"6/17/18","GF Basic + GF WD","","PRESENT","Primary"
"668",1206,"4/23/17","GF Basic + GF WD","","PRESENT","Primary"
"2965",2229,"6/24/18","GF Basic + GF WD","","PRESENT","Primary"
"3001",1779,"7/1/18","NE","","PRESENT","Primary"
"1691",1492,"10/22/17","GF Basic + GF WD","","PRESENT","Primary"
"2886",1822,"6/5/18","NE","","PRESENT","Primary"
"2067",1842,"1/7/18","NE","","PRESENT","Primary"
"585",1293,"4/4/17","PAC Cat","","PRESENT","Primary"
"1516",1371,"9/24/17","PAC Cat","","PRESENT","Primary"
"1139",1090,"7/11/17","NE","","PRESENT","Primary"
"2348",1854,"2/20/18","PAC Dog","","PRESENT","Primary"
"751",1646,"5/7/17","GF Basic + GF WD","","PRESENT","Primary"
"1934",1188,"12/5/17","PAC Dog","","PRESENT","Primary"
"2486",2086,"03/18/18","GF Basic + GF WD","","PRESENT","Primary"
"479",1054,"3/19/17","GF Basic + GF WD","","PRESENT","Primary"
"1638",1402,"10/10/17","PAC Cat","","PRESENT","Primary"
"1015",1470,"6/18/17","NE","","PRESENT","Primary"
"1973",1393,"12/17/17","GF Basic","","PRESENT","Primary"
"473",1098,"3/19/17","PAC Cat","","PRESENT","Primary"
"1271",1439,"8/8/17","PAC Cat","","PRESENT","Primary"
"474",1304,"3/19/17","PAC Cat","","PRESENT","Primary"
"1887",2104,"11/18/17","PAC Cat","","PRESENT","Primary"
"2938",2028,"6/17/18","GF Basic + GF WD","","PRESENT","Primary"
"2812",1997,"5/20/18","NE","","PRESENT","Primary"
"566",1625,"4/2/17","GF Basic + GF WD","","PRESENT","Primary"
"1169",1314,"7/18/17","PAC Cat","","PRESENT","Primary"
"1257",1586,"8/6/17","GF Basic + GF WD","","PRESENT","Primary"
"2297",2049,"2/11/18","PAC Cat","","PRESENT","Primary"
"428",1060,"3/7/17","NE","","PRESENT","Primary"
"32",1636,"1/8/17","NE","","PRESENT","Primary"
"2835",2186,"6/3/18","GF Basic","","PRESENT","Primary"
"2168",2015,"1/23/18","PAC Cat","","PRESENT","Primary"
"3004",2059,"7/1/18","NE","","PRESENT","Primary"
"2801",1990,"5/18/18","GF Basic","","PRESENT","Primary"
"2188",1756,"1/28/18","GF Basic","","PRESENT","Primary"
"1902",1282,"12/3/17","GF Basic","","PRESENT","Primary"
"1486",1428,"9/17/17","NE","","PRESENT","Primary"
